	Z:\musculoskeletal_gait\align test\New Session\move01.c3d	Z:\musculoskeletal_gait\align test\New Session\move01.c3d	Z:\musculoskeletal_gait\align test\New Session\move01.c3d
	frame	frame	frame
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z
1	-62.637856	46.979828	15.039042
2	-59.006504	43.780014	13.697264
3	-58.104050	42.087605	13.205734
4	-58.037964	41.261463	13.111475
5			
6	-56.106686	38.301842	12.078612
7	-54.409153	37.553249	11.224713
8	-53.600494	34.586594	11.436526
9	-52.092827	33.464207	10.684805
10	-50.818707	31.660345	10.287800
11	-49.218353	30.096102	9.901958
12	-48.120415	28.212500	9.543198
13			
14	-44.992836	25.308498	8.399690
15	-43.763107	24.477325	7.887543
16	-42.213310	22.505819	7.243022
17	-40.658932	21.267263	7.115709
18	-38.996502	20.490149	6.682214
19	-37.462330	18.507084	6.355452
20	-35.800861	18.588446	5.923559
21	-34.323021	16.129629	5.743640
22	-32.671310	15.214429	5.272780
23	-31.218746	14.568138	4.660333
24	-29.578178	13.033731	4.650167
25	-27.754345	11.322033	4.676615
26	-26.564396	10.966089	4.058030
27	-24.657257	9.921261	3.881685
28	-23.191988	8.923039	3.807967
29	-21.410517	8.488621	3.157003
30	-19.833656	7.297187	3.603489
31	-18.288891	6.569968	3.599503
32	-16.554405	5.844748	3.501578
33	-14.880894	5.208603	3.559303
34	-13.167068	4.452461	3.458135
35	-11.409616	3.862818	3.526579
36	-9.735265	3.222879	3.720932
37	-8.023139	2.473289	3.731321
38	-6.291240	1.918855	3.923462
39	-4.599534	1.225375	3.963598
40	-2.925102	0.664484	4.120832
41	-1.232098	0.063618	4.282608
42	0.374730	-0.556321	4.450243
43	2.022367	-1.145377	4.638975
44	3.579773	-1.835375	4.800651
45	5.139894	-2.453794	5.002973
46	6.580987	-3.112524	5.158264
47	7.988799	-3.684814	5.333370
48	9.313796	-4.198949	5.494281
49	10.611675	-4.659555	5.686773
50	11.844925	-5.042586	5.880113
51	13.006696	-5.430861	6.073061
52	14.113600	-5.776062	6.276650
53	15.162262	-6.064280	6.475961
54	16.172104	-6.319379	6.662487
55	17.126459	-6.477604	6.853196
56	18.048330	-6.575415	7.027977
57	18.965698	-6.553447	7.216032
58	19.836700	-6.413414	7.409975
59	20.685541	-6.213073	7.599292
60	21.484455	-5.947851	7.791715
61	22.259336	-5.738321	7.972478
62	23.045956	-5.514020	8.163316
63	23.807384	-5.382246	8.320206
64	24.566326	-5.310786	8.481499
65	25.303869	-5.284466	8.624174
66	26.067890	-5.299808	8.749198
67	26.845390	-5.293315	8.856989
68	27.627106	-5.225198	8.971187
69	28.390478	-5.104136	9.063567
70	29.148222	-4.928167	9.137219
71	29.891050	-4.626788	9.218722
72	30.651667	-4.344899	9.270275
73	31.395908	-3.938329	9.340301
74	32.180126	-3.562577	9.367404
75	32.956802	-3.204663	9.400181
76	33.730675	-2.863919	9.413229
77	34.523579	-2.624783	9.424519
78	35.334259	-2.528332	9.412542
79	36.109715	-2.449110	9.382352
80	36.896423	-2.458489	9.329900
81	37.683723	-2.522070	9.279585
82	38.456303	-2.648485	9.199216
83	39.185078	-2.704872	9.128259
84	39.918156	-2.808236	9.051586
85	40.605148	-2.868714	8.964588
86	41.254852	-2.910701	8.892236
87	41.867737	-2.888052	8.816397
88	42.443638	-2.919201	8.748130
89	43.020947	-2.880083	8.675104
90	43.534149	-2.784343	8.626149
91	44.022842	-2.624596	8.588603
92	44.424400	-2.497497	8.532068
93	44.822685	-2.384257	8.537956
94	45.244900	-2.273308	8.510809
95	45.554321	-2.202996	8.509995
96	45.829441	-2.128269	8.518839
97	46.072193	-2.074656	8.528747
98	46.277481	-1.982322	8.556090
99	46.411495	-1.821471	8.579599
100	46.513485	-1.625427	8.611184
101	46.602676	-1.369858	8.650039
102	46.623650	-1.082172	8.693368
